Shear stress(Pa),Shear rate(s-ยน),Shear viscosity(Pa s),Angular velocity(rad/s),Steady state
455.9,1.225,372.1,0.1062,1.009
457.2,1.542,296.5,0.1337,0.9939
481.7,1.942,248.0,0.1683,0.9888
509.9,2.444,208.6,0.2119,0.9901
527.1,3.075,171.4,0.2666,1.006
499.8,3.873,129.0,0.3357,1.016
510.0,4.877,104.6,0.4228,0.9941
510.4,6.138,83.16,0.5321,1.003
511.0,7.724,66.15,0.6696,1.007
513.7,9.725,52.83,0.8430,0.9997
518.3,12.25,42.33,1.062,0.9978
519.3,15.41,33.69,1.336,1.001
523.6,19.40,26.99,1.682,0.9966
517.8,24.42,21.21,2.117,0.9896
516.3,30.74,16.79,2.665,0.9932
516.8,38.70,13.35,3.355,0.9960
503.9,48.72,10.34,4.223,1.014
512.0,61.33,8.349,5.316,0.9986
518.0,77.20,6.710,6.692,0.9761
531.4,97.19,5.468,8.425,0.9965
549.3,122.3,4.490,10.61,0.9149
560.1,154.0,3.636,13.35,0.9956
572.6,193.8,2.954,16.80,0.9923
583.3,244.0,2.390,21.15,0.9944
625.7,307.2,2.037,26.63,0.9544
680.8,386.7,1.760,33.52,0.9592
700.5,486.8,1.439,42.20,0.9879
693.4,408.2,1.699,35.39,0.9944
640.4,324.3,1.975,28.11,1.018
598.6,257.6,2.324,22.33,1.012
567.7,204.6,2.775,17.74,1.007
542.4,162.6,3.336,14.09,1.000
520.6,129.2,4.031,11.20,1.011
499.1,102.6,4.865,8.893,1.009
475.1,81.49,5.830,7.065,1.007
459.0,64.74,7.091,5.612,1.009
444.4,51.42,8.642,4.458,1.008
431.2,40.85,10.56,3.541,1.005
419.3,32.45,12.92,2.813,1.011
408.6,25.78,15.85,2.235,1.000
398.6,20.48,19.46,1.775,0.9937
394.5,16.27,24.25,1.410,1.002
377.9,12.92,29.24,1.120,0.9959
366.8,10.27,35.73,0.8900,1.017
357.4,8.155,43.82,0.7069,1.019
358.2,6.479,55.29,0.5617,1.018
338.4,5.146,65.77,0.4461,1.011
335.5,4.088,82.07,0.3543,1.002
337.4,3.247,103.9,0.2815,1.002
332.8,2.581,129.0,0.2237,1.001
335.5,2.050,163.7,0.1777,0.9994
337.4,1.628,207.3,0.1411,0.9957
337.1,1.294,260.6,0.1121,1.002
341.5,1.027,332.4,0.08906,0.9989
